Date,Open,High,Low,Close,Adj Close,Volume
2001-07-01,56.299999,56.970001,53.400002,55.419998,37.044853,4767200
2001-08-01,55.599998,56.200001,51.705002,52.174999,34.875778,1812200
2001-09-01,52.169998,53.035000,43.400002,47.474998,31.734129,3627600
2001-10-01,47.099998,50.575001,46.654999,48.450001,32.501480,12946600
2001-11-01,48.724998,53.174999,48.064999,52.139999,34.976799,4535600
2001-12-01,51.834999,53.950001,51.400002,52.695000,35.349121,3976800
2002-01-01,53.000000,54.375000,50.215000,52.235001,35.171482,6952200
2002-02-01,52.334999,52.334999,49.724998,51.320000,34.555382,5258800
2002-03-01,51.439999,54.419998,51.435001,53.055000,35.723606,3995000
2002-04-01,53.000000,53.235001,49.950001,50.689999,34.227341,5967600
2002-05-01,50.689999,51.895000,49.220001,49.974998,33.744526,2950800
2002-06-01,50.000000,50.180000,44.575001,46.400002,31.330584,5423600
2002-07-01,46.500000,46.500000,36.544998,42.529999,28.797962,11085800
2002-08-01,42.299999,45.130001,39.099998,42.855000,29.018038,8420800
2002-09-01,42.150002,43.244999,37.715000,38.375000,25.984529,7631800
2002-10-01,38.775002,42.299999,36.000000,41.250000,28.039085,12488400
2002-11-01,41.049999,44.125000,40.794998,43.724998,29.721434,6866400
2002-12-01,44.540001,44.700001,40.724998,41.314999,28.083261,10837200
2003-01-01,41.700001,43.724998,39.424999,40.169998,27.432880,7358200
2003-02-01,40.349998,40.599998,37.880001,39.549999,27.009459,9953200
2003-03-01,39.900002,42.029999,37.195000,39.700001,27.111908,16879000
2003-04-01,39.924999,43.355000,39.750000,43.119999,29.556755,10442000
2003-05-01,42.974998,45.724998,42.439999,45.634998,31.280655,6680400
2003-06-01,46.075001,48.075001,45.705002,46.224998,31.685066,5530800
2003-07-01,46.099998,48.360001,45.669998,47.299999,32.525414,4055200
2003-08-01,47.224998,48.549999,45.825001,48.430000,33.302452,3840000
2003-09-01,48.619999,50.000000,47.419998,47.750000,32.834869,5331200
2003-10-01,48.020000,50.825001,47.915001,50.639999,34.946091,4302600
2003-11-01,50.895000,51.485001,49.875000,51.400002,35.470547,3772800
2003-12-01,51.650002,53.580002,50.840000,53.230000,36.733425,6266000
2004-01-01,53.695000,55.845001,53.130001,54.619999,37.852200,6910800
2004-02-01,54.700001,56.044998,54.130001,55.384998,38.382347,4434000
2004-03-01,55.445000,56.395000,52.625000,54.639999,37.866055,8428000
2004-04-01,54.650002,55.830002,53.200001,53.424999,37.144691,6786600
2004-05-01,53.825001,54.439999,51.825001,54.200001,37.683533,9107000
2004-06-01,54.150002,55.389999,53.875000,55.110001,38.316235,6131400
2004-07-01,55.150002,55.215000,51.810001,53.150002,37.081276,6064000
2004-08-01,52.750000,53.459999,50.950001,53.180000,37.102207,6748600
2004-09-01,53.224998,54.785000,53.000000,53.880001,37.590572,9163400
2004-10-01,54.174999,55.250000,52.994999,54.849998,38.405338,8172400
2004-11-01,54.924999,57.985001,54.730000,57.450001,40.225842,10326600
2004-12-01,57.625000,59.494999,57.294998,59.025002,41.328632,9719600
2005-01-01,59.400002,59.424999,56.540001,57.549999,40.564240,5543000
2005-02-01,57.549999,59.125000,57.525002,58.750000,41.410057,4256800
2005-03-01,58.849998,60.005001,56.599998,57.430000,40.479656,4844200
2005-04-01,57.799999,58.025002,55.314999,56.165001,39.739830,5283600
2005-05-01,56.275002,58.564999,55.805000,58.345001,41.282299,5205400
