Date,Open,High,Low,Close,Adj Close,Volume
2022-12-19,22.840000,22.950001,21.590000,21.799999,21.799999,2394300
2022-12-20,21.590000,22.900000,21.320000,22.660000,22.660000,1887700
2022-12-21,22.910000,23.528999,22.500000,23.209999,23.209999,1934700
2022-12-22,22.610001,22.905001,21.618000,22.160000,22.160000,1937100
2022-12-23,21.780001,22.350000,21.559999,21.990000,21.990000,1804100
2022-12-27,21.910000,21.910000,20.930000,20.990000,20.990000,1757200
2022-12-28,20.750000,21.150000,20.590000,20.930000,20.930000,1236700
2022-12-29,21.370001,22.855000,21.125000,22.000000,22.000000,2271400
2022-12-30,21.340000,22.344999,21.340000,22.240000,22.240000,1284900
2023-01-03,22.830000,23.090000,21.209999,21.330000,21.330000,1416200
2023-01-04,21.510000,21.660000,20.219999,20.500000,20.500000,2372800
2023-01-05,20.120001,20.285000,17.809999,17.924999,17.924999,3887800
2023-01-06,17.889999,18.730000,16.600000,18.190001,18.190001,3651000
2023-01-09,18.570000,19.768000,18.388000,19.379999,19.379999,3865100
2023-01-10,20.180000,20.545000,18.930000,20.530001,20.530001,3504300
2023-01-11,20.650000,21.410000,20.500000,20.840000,20.840000,2461200
2023-01-12,20.840000,20.920000,19.510000,20.190001,20.190001,2924500
2023-01-13,19.750000,20.615000,19.660000,20.410000,20.410000,1815300
2023-01-17,20.430000,21.690001,20.129999,21.379999,21.379999,2253500
2023-01-18,21.740000,22.358000,21.129999,21.240000,21.240000,3145900
2023-01-19,20.920000,21.110001,20.180000,20.200001,20.200001,1781500
2023-01-20,20.570000,21.510000,20.190001,21.450001,21.450001,2832400
2023-01-23,22.100000,23.500000,21.620001,23.379999,23.379999,4354500
2023-01-24,22.889999,23.719999,22.590000,23.200001,23.200001,3460300
2023-01-25,22.030001,23.240000,21.010000,22.910000,22.910000,3606100
2023-01-26,22.790001,23.840000,21.020000,22.260000,22.260000,13683300
2023-01-27,21.549999,23.840000,21.200001,23.490000,23.490000,8155700
2023-01-30,23.250000,23.620001,22.139999,23.030001,23.030001,6617800
2023-01-31,22.650000,23.180000,21.330000,23.100000,23.100000,8147800
2023-02-01,23.280001,25.000000,22.299999,24.690001,24.690001,7690700
2023-02-02,25.000000,27.520000,25.000000,27.080000,27.080000,9281400
2023-02-03,25.350000,27.139999,24.639999,25.360001,25.360001,7159700
2023-02-06,24.650000,25.270000,24.219999,24.639999,24.639999,3565400
2023-02-07,24.809999,25.959999,23.870001,25.670000,25.670000,3141700
2023-02-08,26.120001,26.466000,25.150000,26.020000,26.020000,4028300
2023-02-09,26.480000,26.900000,25.410000,25.480000,25.480000,3925200
2023-02-10,24.922001,25.469999,24.420000,25.200001,25.200001,3556600
2023-02-13,26.030001,27.299999,24.955000,26.799999,26.799999,5688800
2023-02-14,26.520000,28.270000,26.250000,28.270000,28.270000,5063600
2023-02-15,27.940001,29.719999,27.750000,29.290001,29.290001,4905900
2023-02-16,27.834999,28.000000,26.660000,26.760000,26.760000,5665800
2023-02-17,26.170000,26.520000,25.110001,25.360001,25.360001,2930300
2023-02-21,24.690001,25.230000,24.040001,24.440001,24.440001,4970800
2023-02-22,24.459999,24.950001,23.950001,24.530001,24.530001,2643100
2023-02-23,24.990000,25.049999,23.870001,24.680000,24.680000,1745700
2023-02-24,23.860001,24.250000,23.430000,24.219999,24.219999,1846200
2023-02-27,24.389999,24.670000,23.910000,24.070000,24.070000,1549600
2023-02-28,24.049999,24.719999,24.040001,24.389999,24.389999,1445000
2023-03-01,24.450001,24.480000,23.299999,23.610001,23.610001,2810500
2023-03-02,23.200001,23.985001,22.760000,23.910000,23.910000,3097000
2023-03-03,24.040001,25.895000,23.980000,25.860001,25.860001,4092400
2023-03-06,25.990000,26.730000,25.570000,25.809999,25.809999,2667800
2023-03-07,25.809999,26.320999,25.110001,25.379999,25.379999,5274800
2023-03-08,25.200001,25.610001,24.910000,25.020000,25.020000,1535000
2023-03-09,24.840000,25.320000,22.510000,23.110001,23.110001,3681300
2023-03-10,22.860001,23.059999,20.930000,21.790001,21.790001,5432900
2023-03-13,21.379999,22.600000,20.320000,22.160000,22.160000,4779500
2023-03-14,22.570000,22.930000,21.980000,22.600000,22.600000,5343600
2023-03-15,22.250000,22.549999,21.820000,22.139999,22.139999,3577700
2023-03-16,21.959999,23.010000,21.850000,22.940001,22.940001,2874600
2023-03-17,22.910000,23.170000,21.639999,21.879999,21.879999,2699300
2023-03-20,21.889999,21.889999,20.834999,21.610001,21.610001,2128700
2023-03-21,22.000000,23.420000,21.920000,23.150000,23.150000,2276500
2023-03-22,23.000000,23.030001,21.540001,21.559999,21.559999,1674400
2023-03-23,22.000000,22.850000,21.325001,22.000000,22.000000,2684300
2023-03-24,21.650000,21.750000,20.660000,20.799999,20.799999,2358500
